"id","loan_amnt_USD","loan_amnt_EUR","funded_amnt_USD","funded_amnt_EUR","int_rate","installment_USD","installment_EUR","total_pymnt_USD","total_pymnt_EUR","issue_date","loan_status","term_months","sub_grade","state_address","verification_status"
48010226,35000,31933.3005880661,35000,31933.3005880661,0.1333,1184.86,1081.04258670789,9452.96,8624.69180362759,"5","1","36","C3","1","1"
57693261,30000,27132.4599928589,30000,27132.4599928589,0.166172947947948,938.57,848.857099183252,4679.7,4232.39243428606,"0","1","36","A5","4","1"
59432726,15000,13326.2996357297,15000,13326.2996357297,0.166172947947948,494.86,439.643509182481,1969.83,1750.0363207633,"9","1","36","B5","4","1"
53222800,9600,8775.74352670075,9600,8775.74352670075,0.166172947947948,300.35,274.561934192143,1793.68,1639.67454676798,"7","1","36","A5","3","0"
57803010,8075,7120.77720720883,8075,7120.77720720883,0.1919,296.78,261.709505827298,1178.51,1039.24546705482,"8","1","36","E3","2","1"
63398019,14400,13080.2404549217,14400,13080.2404549217,0.1399,334.99,304.288177082933,681.17,618.740791019378,"10","1","60","C4","2","0"
60850626,15273.4631578947,13569.2497678256,13000,11549.4596842991,0.2499,381.5,338.932220735393,1126.45,1000.76068164452,"9","1","60","F4","1","1"
46816139,7500,6748.04998064541,7500,6748.04998064541,0.1333,253.9,228.443985344783,2025.65,1822.55832577258,"4","1","36","C3","2","0"
63918356,8000,7559.28030288097,8000,7559.28030288097,0.166172947947948,250.29,236.50153337601,497.07,469.68643251913,"11","1","36","A5","4","1"
63651616,7200,6803.35227259287,7200,6803.35227259287,0.166172947947948,241.18,227.893402931104,512.57,484.332538105962,"11","1","36","C2","2","0"
56069330,15273.4631578947,13962.0828581455,6200,5667.66769432757,0.1561,216.79,198.176399911818,1073.2,981.054995089088,"7","1","36","D1","2","1"
39641145,21000,18603.9011627704,21000,18603.9011627704,0.166172947947948,701.42,621.38801683764,5582.45,4945.49276410037,"1","1","36","C1","3","0"
52311217,15000,13365.4497256203,15000,13365.4497256203,0.1333,343.84,306.371748910485,15643.5,13938.8275188494,"6","0","60","C3","1","0"
65775524,10000,9449.10037860121,10000,9449.10037860121,0.1318,228.46,215.874147249523,217.48,205.499035033819,"11","1","60","C3","2","0"
57336468,21000,18518.4298887165,21000,18518.4298887165,0.166172947947948,700.42,617.651364888323,3487.76,3075.6113823176,"8","0","36","C1","1","0"
41480201,12725,11749.5020456091,12725,11749.5020456091,0.1786,322.17,297.472461613665,14262.61,13169.2389289371,"3","1","60","D5","2","1"
58390667,22900,20193.9068786479,22900,20193.9068786479,0.1999,606.59,534.909256485548,2982.09,2629.69640889726,"8","1","60","E4","1","0"
