"id","loan_amnt_USD","funded_amnt_USD","int_rate","installment_USD","total_pymnt_USD","issue_date","loan_status","term_months","sub_grade","state_address","verification_status"
48010226,35000,35000,0.1333,1184.86,9452.96,"5","1","36","C3","1","1"
59432726,15000,15000,0.166172947947948,494.86,1969.83,"9","1","36","B5","4","1"
53222800,9600,9600,0.166172947947948,300.35,1793.68,"7","1","36","A5","3","0"
57803010,8075,8075,0.1919,296.78,1178.51,"8","1","36","E3","2","1"
63398019,14400,14400,0.1399,334.99,681.17,"10","1","60","C4","2","0"
60850626,15273.4631578947,13000,0.2499,381.5,1126.45,"9","1","60","F4","1","1"
46816139,7500,7500,0.1333,253.9,2025.65,"4","1","36","C3","2","0"
63918356,8000,8000,0.166172947947948,250.29,497.07,"11","1","36","A5","4","1"
63651616,7200,7200,0.166172947947948,241.18,512.57,"11","1","36","C2","2","0"
56069330,15273.4631578947,6200,0.1561,216.79,1073.2,"7","1","36","D1","2","1"
39641145,21000,21000,0.166172947947948,701.42,5582.45,"1","1","36","C1","3","0"
52311217,15000,15000,0.1333,343.84,15643.5,"6","0","60","C3","1","0"
65775524,10000,10000,0.1318,228.46,217.48,"11","1","60","C3","2","0"
57336468,21000,21000,0.166172947947948,700.42,3487.76,"8","0","36","C1","1","0"
41480201,12725,12725,0.1786,322.17,14262.61,"3","1","60","D5","2","1"
58390667,22900,22900,0.1999,606.59,2982.09,"8","1","60","E4","1","0"
49218915,16875,16875,0.1919,439.52,2736.06,"6","1","60","E3","2","1"
50364957,14400,14400,0.166172947947948,446.35,3118.64,"6","1","36","A4","2","0"
65985055,12000,12000,0.166172947947948,371.96,0,"12","1","36","A4","1","0"
61772655,20150,20150,0.166172947947948,642.37,1274.47,"10","1","36","B2","2","1"
59230683,21000,21000,0.166172947947948,657,12609.59,"9","1","36","A5","2","0"
58030770,13200,13200,0.166172947947948,403.01,2010.47,"8","1","36","A2","2","0"
65676913,15000,15000,0.166172947947948,457.97,447.57,"11","1","60","A2","4","0"
41021489,16400,16400,0.166172947947948,381.52,3789.71,"3","1","60","C4","1","1"
43125650,28000,28000,0.1952,734.38,7313.44,"3","1","60","E3","2","1"
65662544,20000,20000,0.1541,480.12,454.44,"11","1","60","D1","1","1"
40298097,15273.4631578947,13000,0.1649,460.2,5038.38,"2","1","36","D3","2","1"
66464411,18000,18000,0.1541,432.11,0,"12","1","60","D5","1","1"
65404741,10000,10000,0.166172947947948,329.72,313.76,"11","1","36","B5","3","1"
51880826,6000,6000,0.166172947947948,196.41,1347.39,"6","1","36","B4","4","1"
59543019,24000,24000,0.2199,662.72,2621.56,"9","0","60","F1","2","1"
57862311,21600,21600,0.166172947947948,724.57,3607.62,"8","1","36","C2","2","0"
41183017,17550,17550,0.2167,481.43,20450.2,"2","1","60","E5","3","1"
46786916,6000,6000,0.166172947947948,201.27,1431.89,"5","1","36","C2","2","1"
65642870,12000,12000,0.166172947947948,382.55,3143.85094094105,"11","1","36","B2","2","1"
66632123,21000,21000,0.1367,714.37,682.47,"12","1","36","C4","2","1"
52199534,12000,12000,0.166172947947948,440.922179176755,1693.57,"6","1","60","A5","2","0"
39730671,35000,35000,0.166172947947948,796.18,8732.72,"1","1","60","C2","1","1"
56622510,3600,3600,0.1699,128.34,642.83,"7","1","36","D3","2","1"
65692571,13000,13000,0.166172947947948,264.72,3143.85094094105,"11","1","60","B1","2","0"
46295185,11000,11000,0.166172947947948,360.08,3227.29,"4","1","36","B4","2","1"
58832358,9500,9500,0.166172947947948,294.47,1197.04,"8","1","36","A4","2","1"
53222282,18850,18850,0.2099,509.85,3190.98,"7","1","60","E5","4","1"
48276008,7500,7500,0.166172947947948,239.1,1908.98,"5","0","36","B2","3","0"
39299787,29850,29850,0.1649,733.69,8222.65,"1","1","60","D3","3","0"
47551165,30000,30000,0.2399,440.922179176755,6862.98,"5","1","60","F2","2","1"
61712601,18025,18025,0.166172947947948,403.61,1229.28,"10","1","60","C1","4","0"
65594568,2100,2100,0.166172947947948,68.75,68.11,"11","1","60","B4","3","1"
50567210,30000,30000,0.1757,1078.12,3205.08,"6","1","36","D5","2","1"
62347203,11200,11200,0.166172947947948,399.26,1176.64,"10","1","36","D3","2","1"
43924642,18150,18150,0.1757,456.66,4074.51,"4","1","60","D4","3","0"
41226723,15125,15125,0.1699,375.82,3743.92,"2","1","60","D3","3","1"
38448211,8000,1000,0.166172947947948,253.18,3034.31,"1","1","36","B1","2","0"
63158279,7200,1000,0.166172947947948,241.53,477.98,"10","1","36","C2","2","1"
66520424,9800,1000,0.166172947947948,315.12,0,"12","1","36","B3","4","1"
38467857,10000,10000,0.166172947947948,336.9,11072.03,"1","1","36","C2","3","0"
55968781,16750,16750,0.1757,421.44,2090.85,"8","1","60","D4","2","0"
65089289,30000,30000,0.166172947947948,989.14,969.99,"12","1","36","B5","4","1"
65403660,12500,12500,0.166172947947948,387.46,374.86,"11","1","36","A4","3","1"
40372163,25000,25000,0.1786,632.94,6937.53,"2","1","60","D5","4","1"
53040428,7700,7700,0.166172947947948,254.03,1514.32,"7","1","36","B5","2","0"
59210835,15273.4631578947,15200,0.166172947947948,330.41,1312.36,"9","1","60","B4","1","1"
64872909,20000,20000,0.166172947947948,450.88,880.78,"11","1","60","C2","0","0"
58410618,35000,35000,0.1699,1247.68,4924.65,"8","1","36","D3","4","0"
44755624,25000,25000,0.166172947947948,505.6,4033.84,"4","1","60","A5","3","1"
55130401,4800,4800,0.1699,171.11,851.02,"7","1","36","D3","1","1"
37978181,12000,12000,0.1431,440.922179176755,7548.35,"1","1","36","C4","2","0"
43106337,35000,35000,0.166172947947948,760.82,6826.01,"4","1","60","B4","2","1"
65332148,24000,24000,0.1318,548.29,1079.01,"11","1","60","C3","2","1"
59199592,22800,22800,0.1333,771.86,3070.56,"9","1","36","C3","3","0"
40582979,24000,24000,0.166172947947948,790.74,9501.41,"2","1","36","B5","2","1"
44085228,16000,16000,0.1884,413.65,3706.1,"3","1","60","E2","2","1"
46777111,12000,12000,0.166172947947948,392.81,3135.15,"5","1","36","B5","1","0"
46349070,8000,8000,0.166172947947948,268.36,8535.35,"4","1","36","C2","3","1"
46486249,19200,19200,0.166172947947948,407.85,3241.49,"4","1","60","B3","3","0"
61522878,18500,18500,0.166172947947948,402.15,1178.21,"10","1","60","B4","1","0"
63823540,14000,14000,0.1757,352.25,947.42,"11","1","60","D5","3","1"
61394215,20750,20750,0.166172947947948,661.49,1359.97,"10","1","36","B5","4","1"
56009236,8200,8200,0.1465,282.86,8549.16,"7","1","36","C5","4","1"
44856133,20400,20400,0.1699,506.89,4580.64,"4","1","60","D3","4","1"
67838623,16000,1000,0.1655,566.87,0,"12","1","36","D2","2","1"
63290338,13500,13500,0.2399,388.29,659.63,"10","1","60","F3","2","1"
56300327,24375,24375,0.2299,687.01,3403.92,"8","1","60","F5","2","1"
38311414,15000,15000,0.1366,346.39,4145.3,"1","1","60","C3","2","0"
38626358,8000,8000,0.1431,274.63,3014.57,"1","1","36","C4","2","1"
66433648,10000,10000,0.166172947947948,325.69,319.78,"12","1","36","B4","1","0"
43749561,28375,28375,0.1399,969.66,8704.89,"3","1","36","C4","3","1"
52738877,13150,13150,0.1786,474.49,3143.85094094105,"6","1","36","D5","4","1"
48212284,15273.4631578947,23000,0.1825,587.19,4650.88,"5","1","60","E1","4","1"
63415193,5400,5400,0.166172947947948,179.49,3143.85094094105,"11","1","36","C1","4","1"
61470409,10400,10400,0.1399,355.4,1058.12,"10","1","36","C4","1","1"
61493421,10000,10000,0.1399,232.64,682.38,"10","1","60","C4","1","1"
39389147,16000,16000,0.166172947947948,359.08,3927.85,"1","1","60","C1","1","1"
66463837,28600,28600,0.1899,741.75,0,"12","1","60","E3","2","1"
51526688,1600,1600,0.1399,54.68,381.52,"6","1","36","C4","0","1"
46546565,18000,1000,0.2299,507.33,4046.51,"4","1","60","F1","4","1"
57265378,3700,3700,0.1561,129.37,3143.85094094105,"8","1","36","D1","4","1"
